# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\Users\maxr\Desktop\DAC_DAQ.csv
# Generated on: Wed Aug 17 10:07:55 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clk,Input,PIN_R8,3,B3_N0,PIN_R8,3.3-V LVCMOS,,,,,
dacVal[11],Output,PIN_K15,5,B5_N0,PIN_K15,3.3-V LVCMOS,,,,,
dacVal[10],Output,PIN_L13,5,B5_N0,PIN_L13,3.3-V LVCMOS,,,,,
dacVal[9],Output,PIN_N14,5,B5_N0,PIN_N14,3.3-V LVCMOS,,,,,
dacVal[8],Output,PIN_P14,4,B4_N0,PIN_P14,3.3-V LVCMOS,,,,,
dacVal[7],Output,PIN_N16,5,B5_N0,PIN_N16,3.3-V LVCMOS,,,,,
dacVal[6],Output,PIN_P16,5,B5_N0,PIN_P16,3.3-V LVCMOS,,,,,
dacVal[5],Output,PIN_L15,5,B5_N0,PIN_L15,3.3-V LVCMOS,,,,,
dacVal[4],Output,PIN_K16,5,B5_N0,PIN_K16,3.3-V LVCMOS,,,,,
dacVal[3],Output,PIN_N11,4,B4_N0,PIN_N11,3.3-V LVCMOS,,,,,
dacVal[2],Output,PIN_P9,4,B4_N0,PIN_P9,3.3-V LVCMOS,,,,,
dacVal[1],Output,PIN_R10,4,B4_N0,PIN_R10,3.3-V LVCMOS,,,,,
dacVal[0],Output,PIN_R11,4,B4_N0,PIN_R11,3.3-V LVCMOS,,,,,
leds[7],Output,PIN_L3,2,B2_N0,PIN_L3,3.3-V LVCMOS,,,,,
leds[6],Output,PIN_B1,1,B1_N0,PIN_B1,3.3-V LVCMOS,,,,,
leds[5],Output,PIN_F3,1,B1_N0,PIN_F3,3.3-V LVCMOS,,,,,
leds[4],Output,PIN_D1,1,B1_N0,PIN_D1,3.3-V LVCMOS,,,,,
leds[3],Output,PIN_A11,7,B7_N0,PIN_A11,3.3-V LVCMOS,,,,,
leds[2],Output,PIN_B13,7,B7_N0,PIN_B13,3.3-V LVCMOS,,,,,
leds[1],Output,PIN_A13,7,B7_N0,PIN_A13,3.3-V LVCMOS,,,,,
leds[0],Output,PIN_A15,7,B7_N0,PIN_A15,3.3-V LVCMOS,,,,,
pbReset,Input,PIN_J15,5,B5_N0,PIN_J15,3.3-V LVCMOS,,,,,
pinReset,Input,PIN_T15,4,B4_N0,PIN_T15,3.3-V LVCMOS,,,,,
trigger,Input,PIN_F13,6,B6_N0,PIN_F13,3.3-V LVCMOS,,,,,
